1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.642963	1.000000	0.003051	237.0
1	-0.645786	1.000000	0.002687	3.1
2	-0.647975	1.000000	0.002645	3.1
3	-0.650723	1.000000	0.002615	3.4
4	-0.653759	1.000000	0.002423	3.7
5	-0.656147	1.000000	0.002249	3.1
6	-0.657928	1.000000	0.002045	3.0
7	-0.659920	1.000000	0.001920	3.1
8	-0.661986	1.000000	0.001848	3.0
9	-0.663783	1.000000	0.001756	3.7
10	-0.665434	1.000000	0.001650	3.1
11	-0.666897	1.000000	0.001540	3.1
12	-0.668152	1.000000	0.001465	3.0
13	-0.669605	1.000000	0.001476	3.0
14	-0.671027	1.000000	0.001425	3.7
15	-0.672419	1.000000	0.001370	3.1
16	-0.673545	1.000000	0.001309	3.1
17	-0.674984	1.000000	0.001259	3.0
18	-0.676346	1.000000	0.001318	3.0
19	-0.677423	1.000000	0.001265	3.4
20	-0.678428	1.000000	0.001178	3.2
21	-0.679427	1.000000	0.001101	3.2
22	-0.679469	1.000000	0.001111	3.1
23	-0.681018	1.000000	0.001119	3.1
24	-0.681949	1.000000	0.001045	3.4
25	-0.682951	1.000000	0.001020	3.1
26	-0.683951	1.000000	0.001047	3.1
27	-0.685011	1.000000	0.001010	3.0
28	-0.685971	1.000000	0.000953	3.0
29	-0.686513	1.000000	0.000914	3.1
30	-0.687360	1.000000	0.000866	3.8
31	-0.688191	1.000000	0.000815	3.4
32	-0.689390	1.000000	0.000827	3.0
33	-0.689961	1.000000	0.000860	3.0
34	-0.690979	1.000000	0.000802	3.2
35	-0.690914	1.000000	0.000795	3.3
36	-0.691876	1.000000	0.000814	3.0
37	-0.692630	1.000000	0.000799	3.0
38	-0.692955	1.000000	0.000773	2.9
39	-0.693827	1.000000	0.000749	2.9
40	-0.694374	1.000000	0.000742	3.7
41	-0.695108	1.000000	0.000749	3.0
42	-0.695775	1.000000	0.000716	2.9
43	-0.696654	1.000000	0.000729	2.9
44	-0.697300	1.000000	0.000725	2.9
45	-0.697734	1.000000	0.000733	3.6
46	-0.698070	1.000000	0.000716	3.2
47	-0.698168	1.000000	0.000696	3.8
48	-0.698683	1.000000	0.000679	3.4
49	-0.699136	1.000000	0.000732	3.1
50	-0.699561	1.000000	0.000759	3.5
51	-0.699961	1.000000	0.000779	3.0
52	-0.700550	0.500000	0.000813	2.9
53	-0.700497	0.500000	0.000558	2.9
54	-0.700759	0.500000	0.000574	3.0
55	-0.700992	0.500000	0.000588	3.5
56	-0.701266	0.500000	0.000565	3.0
57	-0.701539	0.500000	0.000586	2.9
58	-0.701807	0.500000	0.000555	2.9
59	-0.702050	0.500000	0.000589	3.2
60	-0.702306	0.500000	0.000596	3.6
61	-0.702640	0.500000	0.000579	3.5
62	-0.702894	0.500000	0.000577	3.2
63	-0.703121	0.500000	0.000582	2.9
64	-0.703166	0.500000	0.000586	3.1
65	-0.703178	0.500000	0.000607	3.6
66	-0.703402	0.500000	0.000582	3.0
67	-0.703649	0.500000	0.000564	2.9
68	-0.703897	0.500000	0.000567	3.0
69	-0.704354	0.500000	0.000546	2.9
70	-0.704387	0.500000	0.000561	3.5
71	-0.704843	0.500000	0.000562	3.0
72	-0.705095	0.500000	0.000540	2.9
73	-0.705216	0.500000	0.000561	3.0
74	-0.705448	0.500000	0.000606	2.9
75	-0.705651	0.500000	0.000606	3.5
76	-0.705860	0.500000	0.000580	3.0
77	-0.706074	0.500000	0.000575	3.0
78	-0.706297	0.500000	0.000533	3.0
79	-0.706519	0.500000	0.000575	2.9
80	-0.706718	0.500000	0.000580	3.1
81	-0.706930	0.500000	0.000542	3.5
82	-0.707019	0.500000	0.000541	3.0
83	-0.707233	0.500000	0.000530	3.1
84	-0.707254	0.500000	0.000549	3.0
85	-0.707431	0.500000	0.000584	2.9
86	-0.707619	0.500000	0.000597	3.4
87	-0.707777	0.500000	0.000580	3.0
88	-0.707967	0.500000	0.000547	3.0
89	-0.707770	0.500000	0.000556	3.3
90	-0.707909	0.500000	0.000569	2.9
91	-0.707929	0.500000	0.000542	3.6
92	-0.707702	0.500000	0.000484	3.0
93	-0.707885	0.500000	0.000494	3.0
94	-0.708073	0.500000	0.000498	3.0
95	-0.708254	0.500000	0.000504	2.9
96	-0.708436	0.500000	0.000489	3.7
97	-0.708628	0.500000	0.000510	3.6
98	-0.708966	0.500000	0.000537	3.2
99	-0.708884	0.500000	0.000541	3.0
