1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.952497	1.000000	0.002443	2.7
1	-0.954787	1.000000	0.002154	1.5
2	-0.956812	1.000000	0.001872	1.5
3	-0.958565	1.000000	0.001626	1.4
4	-0.960071	1.000000	0.001398	1.3
5	-0.961345	1.000000	0.001169	1.1
6	-0.962383	1.000000	0.000930	1.0
7	-0.963199	1.000000	0.000728	1.1
8	-0.963845	1.000000	0.000592	1.0
9	-0.964389	1.000000	0.000505	1.0
10	-0.964861	1.000000	0.000446	1.1
11	-0.965280	1.000000	0.000413	1.1
12	-0.965664	1.000000	0.000387	1.1
13	-0.966032	1.000000	0.000358	1.1
14	-0.966374	1.000000	0.000334	1.1
15	-0.966690	1.000000	0.000314	1.3
16	-0.966996	1.000000	0.000295	1.2
17	-0.967282	1.000000	0.000274	1.3
18	-0.967546	1.000000	0.000259	1.1
19	-0.967792	1.000000	0.000248	1.1
20	-0.968015	1.000000	0.000241	0.9
21	-0.968208	1.000000	0.000249	1.0
22	-0.968366	1.000000	0.000267	1.0
23	-0.968496	0.500000	0.000295	0.9
24	-0.968600	0.500000	0.000194	1.1
25	-0.968690	0.500000	0.000197	1.1
26	-0.968773	0.500000	0.000194	1.0
27	-0.968858	0.500000	0.000188	0.9
28	-0.968940	0.500000	0.000185	0.9
29	-0.969032	0.500000	0.000181	0.9
30	-0.969118	0.500000	0.000182	1.4
31	-0.969202	0.500000	0.000184	1.3
32	-0.969280	0.500000	0.000188	1.0
33	-0.969354	0.500000	0.000194	0.9
34	-0.969428	0.500000	0.000186	0.9
35	-0.969504	0.500000	0.000192	0.9
36	-0.969579	0.500000	0.000184	0.9
37	-0.969648	0.500000	0.000174	1.0
38	-0.969722	0.500000	0.000181	1.0
39	-0.969788	0.500000	0.000186	0.9
40	-0.969844	0.500000	0.000208	0.9
41	-0.969883	0.250000	0.000211	0.9
42	-0.969926	0.250000	0.000158	0.9
43	-0.969956	0.250000	0.000169	1.0
44	-0.969982	0.250000	0.000164	0.9
45	-0.970011	0.250000	0.000157	1.1
46	-0.970041	0.250000	0.000162	1.2
47	-0.970065	0.250000	0.000158	1.4
48	-0.970096	0.250000	0.000143	0.9
49	-0.970125	0.250000	0.000145	0.9
50	-0.970154	0.250000	0.000145	0.9
51	-0.970182	0.250000	0.000152	0.9
52	-0.970208	0.250000	0.000147	0.9
53	-0.970237	0.250000	0.000143	1.0
54	-0.970266	0.250000	0.000148	1.0
55	-0.970293	0.250000	0.000146	1.1
56	-0.970321	0.250000	0.000145	0.9
57	-0.970354	0.250000	0.000142	1.0
58	-0.970383	0.250000	0.000140	0.9
59	-0.970411	0.250000	0.000155	0.9
