1:ItNr	2:Metric	FS0:test:0	Time[ms]
0	-0.703626	-1.500000	2.0
1	-0.701077	-1.490000	0.6
2	-0.699913	-1.480000	0.6
3	-0.697763	-1.470000	0.6
4	-0.695442	-1.460000	0.6
5	-0.692779	-1.450000	0.6
6	-0.690682	-1.440000	0.6
7	-0.689279	-1.430000	0.6
8	-0.687451	-1.420000	0.6
9	-0.687432	-1.410000	0.6
10	-0.684008	-1.400000	0.6
11	-0.683014	-1.390000	0.6
12	-0.681450	-1.380000	0.6
13	-0.680508	-1.370000	0.8
14	-0.679625	-1.360000	0.8
15	-0.677132	-1.350000	0.6
16	-0.677244	-1.340000	0.6
17	-0.676352	-1.330000	0.6
18	-0.674563	-1.320000	0.6
19	-0.674051	-1.310000	0.6
20	-0.674178	-1.300000	0.6
21	-0.673301	-1.290000	0.6
22	-0.672594	-1.280000	0.6
23	-0.672723	-1.270000	0.6
24	-0.673429	-1.260000	0.6
25	-0.673656	-1.250000	0.6
26	-0.673420	-1.240000	0.6
27	-0.674884	-1.230000	0.6
28	-0.674381	-1.220000	0.6
29	-0.674651	-1.210000	0.6
30	-0.674081	-1.200000	0.6
31	-0.674004	-1.190000	0.6
32	-0.674930	-1.180000	0.6
33	-0.675188	-1.170000	0.6
34	-0.675259	-1.160000	0.6
35	-0.676300	-1.150000	0.6
36	-0.677690	-1.140000	0.6
37	-0.678990	-1.130000	0.6
38	-0.678708	-1.120000	0.6
39	-0.679321	-1.110000	0.6
40	-0.678989	-1.100000	0.6
41	-0.678725	-1.090000	0.6
42	-0.678383	-1.080000	0.6
43	-0.679978	-1.070000	0.6
44	-0.680905	-1.060000	0.6
45	-0.682675	-1.050000	0.6
46	-0.682530	-1.040000	0.6
47	-0.684317	-1.030000	0.6
48	-0.685713	-1.020000	0.6
49	-0.686097	-1.010000	0.6
50	-0.688149	-1.000000	0.6
51	-0.690187	-0.990000	0.6
52	-0.692164	-0.980000	0.6
53	-0.693115	-0.970000	0.6
54	-0.695338	-0.960000	0.6
55	-0.698263	-0.950000	0.6
56	-0.700496	-0.940000	0.6
57	-0.700470	-0.930000	0.6
58	-0.703075	-0.920000	0.6
59	-0.704997	-0.910000	0.6
60	-0.707363	-0.900000	0.6
61	-0.710413	-0.890000	0.6
62	-0.713969	-0.880000	0.6
63	-0.716382	-0.870000	0.6
64	-0.718182	-0.860000	0.6
65	-0.721836	-0.850000	0.6
66	-0.724031	-0.840000	0.7
67	-0.726263	-0.830000	0.6
68	-0.728796	-0.820000	0.6
69	-0.731378	-0.810000	0.6
70	-0.735097	-0.800000	0.6
71	-0.737873	-0.790000	0.6
72	-0.741024	-0.780000	0.6
73	-0.744593	-0.770000	0.6
74	-0.748715	-0.760000	0.6
75	-0.751991	-0.750000	0.6
76	-0.754998	-0.740000	0.6
77	-0.759311	-0.730000	0.6
78	-0.762319	-0.720000	0.6
79	-0.766884	-0.710000	0.6
80	-0.770844	-0.700000	0.6
81	-0.774494	-0.690000	0.6
82	-0.777301	-0.680000	0.6
83	-0.780757	-0.670000	0.6
84	-0.784729	-0.660000	0.6
85	-0.787588	-0.650000	0.6
86	-0.790735	-0.640000	0.6
87	-0.794485	-0.630000	0.6
88	-0.798752	-0.620000	0.6
89	-0.802201	-0.610000	0.6
90	-0.805849	-0.600000	0.6
91	-0.809234	-0.590000	0.6
92	-0.813044	-0.580000	0.6
93	-0.816407	-0.570000	0.8
94	-0.819932	-0.560000	0.7
95	-0.823581	-0.550000	0.6
96	-0.827663	-0.540000	0.6
97	-0.830896	-0.530000	0.6
98	-0.835686	-0.520000	0.6
99	-0.839203	-0.510000	0.6
100	-0.842949	-0.500000	0.6
101	-0.846415	-0.490000	0.6
102	-0.849768	-0.480000	0.6
103	-0.853494	-0.470000	0.6
104	-0.856485	-0.460000	0.6
105	-0.859928	-0.450000	0.6
106	-0.863137	-0.440000	0.6
107	-0.866161	-0.430000	0.6
108	-0.868888	-0.420000	0.6
109	-0.872055	-0.410000	0.6
110	-0.875593	-0.400000	0.6
111	-0.878859	-0.390000	0.6
112	-0.881962	-0.380000	0.6
113	-0.884809	-0.370000	0.6
114	-0.887414	-0.360000	0.6
115	-0.890268	-0.350000	0.6
116	-0.893591	-0.340000	0.6
117	-0.897395	-0.330000	0.6
118	-0.900232	-0.320000	0.6
119	-0.903681	-0.310000	1.0
120	-0.906715	-0.300000	0.7
121	-0.909395	-0.290000	0.6
122	-0.912255	-0.280000	0.6
123	-0.915543	-0.270000	0.6
124	-0.918016	-0.260000	0.6
125	-0.920467	-0.250000	0.6
126	-0.923053	-0.240000	0.6
127	-0.925385	-0.230000	0.6
128	-0.927575	-0.220000	0.6
129	-0.929862	-0.210000	0.6
130	-0.932421	-0.200000	0.6
131	-0.934666	-0.190000	0.6
132	-0.936920	-0.180000	0.6
133	-0.939063	-0.170000	0.6
134	-0.941067	-0.160000	0.6
135	-0.943195	-0.150000	0.6
136	-0.945013	-0.140000	0.6
137	-0.946859	-0.130000	0.6
138	-0.948716	-0.120000	0.6
139	-0.950490	-0.110000	0.6
140	-0.952145	-0.100000	0.6
141	-0.953523	-0.090000	0.6
142	-0.955222	-0.080000	0.6
143	-0.956532	-0.070000	0.7
144	-0.957629	-0.060000	0.7
145	-0.958928	-0.050000	0.7
146	-0.959894	-0.040000	0.7
147	-0.960873	-0.030000	0.6
148	-0.961923	-0.020000	0.6
149	-0.962742	-0.010000	0.7
150	-0.963404	0.000000	0.7
151	-0.963711	0.010000	0.6
152	-0.963984	0.020000	0.7
153	-0.964024	0.030000	0.6
154	-0.964189	0.040000	0.6
155	-0.964192	0.050000	0.6
156	-0.964197	0.060000	0.6
157	-0.964202	0.070000	0.6
158	-0.963958	0.080000	0.6
159	-0.963656	0.090000	0.7
160	-0.963342	0.100000	0.7
161	-0.962921	0.110000	0.6
162	-0.962471	0.120000	0.6
163	-0.961887	0.130000	0.6
164	-0.961300	0.140000	0.6
165	-0.960661	0.150000	0.7
166	-0.959930	0.160000	0.6
167	-0.959075	0.170000	0.6
168	-0.958149	0.180000	0.6
169	-0.957178	0.190000	0.6
170	-0.955960	0.200000	0.6
171	-0.954797	0.210000	0.6
172	-0.953752	0.220000	0.6
173	-0.952408	0.230000	0.5
174	-0.951059	0.240000	0.5
175	-0.949668	0.250000	0.5
176	-0.948253	0.260000	0.5
177	-0.946785	0.270000	0.5
178	-0.945064	0.280000	0.5
179	-0.943110	0.290000	0.5
180	-0.941613	0.300000	0.5
181	-0.939911	0.310000	0.5
182	-0.938124	0.320000	0.5
183	-0.936177	0.330000	0.5
184	-0.934370	0.340000	0.5
185	-0.932326	0.350000	0.5
186	-0.930220	0.360000	0.5
187	-0.928059	0.370000	0.5
188	-0.925839	0.380000	0.5
189	-0.923551	0.390000	0.5
190	-0.921514	0.400000	0.5
191	-0.919114	0.410000	0.5
192	-0.916889	0.420000	0.5
193	-0.914283	0.430000	0.5
194	-0.911566	0.440000	0.5
195	-0.909125	0.450000	0.5
196	-0.906562	0.460000	0.6
197	-0.903261	0.470000	0.6
198	-0.900346	0.480000	0.6
199	-0.897370	0.490000	0.5
200	-0.894183	0.500000	0.5
201	-0.890758	0.510000	0.5
202	-0.888165	0.520000	0.5
203	-0.885297	0.530000	0.5
204	-0.881992	0.540000	0.5
205	-0.878968	0.550000	0.5
206	-0.875777	0.560000	0.5
207	-0.872889	0.570000	0.5
208	-0.869801	0.580000	0.6
209	-0.866546	0.590000	0.6
210	-0.863264	0.600000	0.5
211	-0.859802	0.610000	0.5
212	-0.856625	0.620000	0.5
213	-0.853640	0.630000	0.6
214	-0.850306	0.640000	0.5
215	-0.847155	0.650000	0.5
216	-0.843549	0.660000	0.5
217	-0.840420	0.670000	0.5
