1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-1.144298	-1.200398	0.000112	0.000000	13094.681694	0.001541	0.000002	0.001679	6.4	3.0	247.9
1	-1.143866	-1.203231	0.000119	0.000000	13094.681694	0.001967	0.000002	0.002046	2.2	1.1	3.9
2	-1.162758	-1.224154	0.000123	1.000000	12499.468889	0.001386	0.000002	0.001583	2.4	1.9	5.0
3	-1.164618	-1.225720	0.000122	1.226382	12372.158411	0.001453	0.000002	0.001606	3.8	1.1	5.7
4	-1.134308	-1.195365	0.000122	2.226382	11839.481451	0.001020	0.000002	0.001227	1.9	1.1	3.4
5	-1.104301	-1.169194	0.000130	3.226379	11350.780756	0.001224	0.000002	0.001384	1.8	1.1	3.4
6	-1.140764	-1.201401	0.000121	4.226378	10900.824183	0.001659	0.000002	0.001780	2.5	1.1	4.1
7	-1.145272	-1.203416	0.000116	3.730426	11119.433052	0.001213	0.000002	0.001396	1.8	1.1	3.4
8	-1.134460	-1.198035	0.000127	4.730426	10687.281906	0.001132	0.000002	0.001360	1.8	0.9	3.2
9	-1.141314	-1.200797	0.000119	4.083907	10962.738615	0.001519	0.000002	0.001642	1.9	0.9	3.3
10	-1.138362	-1.196496	0.000116	5.083907	10542.451170	0.001246	0.000002	0.001434	1.8	1.2	3.6
11	-1.161711	-1.221143	0.000119	6.083907	10153.199679	0.001518	0.000002	0.001644	2.2	0.9	3.7
12	-1.155752	-1.216157	0.000121	7.083907	9791.668796	0.000765	0.000002	0.001001	1.7	1.0	3.3
13	-1.152555	-1.209429	0.000114	8.012993	9478.109066	0.001350	0.000002	0.001422	1.8	0.9	3.3
14	-1.136382	-1.194916	0.000117	9.012963	9162.318258	0.000949	0.000002	0.001161	1.7	0.9	3.2
15	-1.151288	-1.207853	0.000113	10.012963	8866.883141	0.001174	0.000002	0.001276	2.1	1.2	3.9
16	-1.142415	-1.200406	0.000116	9.366918	9055.522766	0.001745	0.000002	0.001822	1.7	0.9	3.2
17	-1.186698	-1.245692	0.000118	8.720399	9252.510945	0.001266	0.000002	0.001378	1.9	1.0	3.4
18	-1.155333	-1.214189	0.000118	8.073880	9458.260018	0.001472	0.000002	0.001600	1.9	1.0	3.4
19	-1.166860	-1.226801	0.000120	9.073880	9143.759193	0.002312	0.000002	0.002426	1.8	0.9	3.2
20	-1.143976	-1.201201	0.000114	10.073820	8849.517451	0.002836	0.000002	0.002923	2.6	1.2	4.3
21	-1.149485	-1.208437	0.000118	11.073820	8573.606525	0.000748	0.000002	0.000946	1.9	0.9	3.4
22	-1.126775	-1.186682	0.000120	12.073820	8314.380157	0.001426	0.000002	0.001532	1.8	0.9	3.2
23	-1.168527	-1.226942	0.000117	11.427301	8480.148022	0.000808	0.000002	0.001010	1.7	0.9	3.2
24	-1.145905	-1.204095	0.000116	10.781964	8652.338608	0.001314	0.000002	0.001365	1.7	1.2	3.5
25	-1.176565	-1.234773	0.000116	10.135448	8832.001314	0.000881	0.000002	0.001064	2.0	0.9	3.6
26	-1.158196	-1.214313	0.000112	11.135447	8557.164823	0.000795	0.000002	0.000983	1.8	1.1	3.3
27	-1.145059	-1.206114	0.000122	12.126391	8301.185485	0.001123	0.000002	0.001214	1.7	0.9	3.2
