1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.943567	1.000000	0.001540	2.4
1	-0.945048	1.000000	0.001420	1.5
2	-0.946401	1.000000	0.001287	1.2
3	-0.947626	1.000000	0.001161	1.2
4	-0.948723	1.000000	0.001034	1.0
5	-0.949713	1.000000	0.000939	1.1
6	-0.950581	1.000000	0.000834	1.0
7	-0.951360	1.000000	0.000737	1.0
8	-0.952057	1.000000	0.000665	1.0
9	-0.952704	1.000000	0.000630	1.0
10	-0.953322	1.000000	0.000604	1.1
11	-0.953917	1.000000	0.000580	1.0
12	-0.954490	1.000000	0.000573	1.1
13	-0.955039	1.000000	0.000548	1.0
14	-0.955583	1.000000	0.000537	1.1
15	-0.956133	1.000000	0.000551	1.0
16	-0.956675	1.000000	0.000535	1.4
17	-0.957211	1.000000	0.000531	1.1
18	-0.957730	1.000000	0.000510	1.0
19	-0.958224	1.000000	0.000505	1.2
20	-0.958729	1.000000	0.000503	1.0
21	-0.959220	1.000000	0.000480	1.0
22	-0.959691	1.000000	0.000462	0.9
23	-0.960136	1.000000	0.000452	1.0
24	-0.960568	1.000000	0.000438	1.0
25	-0.960996	1.000000	0.000419	1.0
26	-0.961395	1.000000	0.000407	1.1
27	-0.961795	1.000000	0.000393	1.0
28	-0.962178	1.000000	0.000375	1.0
29	-0.962545	1.000000	0.000360	1.0
30	-0.962872	1.000000	0.000345	1.2
31	-0.963196	1.000000	0.000328	1.0
32	-0.963518	1.000000	0.000316	1.1
33	-0.963824	1.000000	0.000298	1.0
34	-0.964115	1.000000	0.000286	1.1
35	-0.964395	1.000000	0.000274	1.0
36	-0.964665	1.000000	0.000264	0.9
37	-0.964923	1.000000	0.000253	1.0
38	-0.965158	1.000000	0.000242	1.0
39	-0.965384	1.000000	0.000232	1.0
40	-0.965610	1.000000	0.000221	1.0
41	-0.965816	1.000000	0.000213	1.0
42	-0.966016	1.000000	0.000207	0.9
43	-0.966219	1.000000	0.000200	1.0
44	-0.966414	1.000000	0.000192	1.0
45	-0.966590	1.000000	0.000182	1.0
46	-0.966768	1.000000	0.000176	1.2
47	-0.966930	1.000000	0.000170	1.1
48	-0.967096	1.000000	0.000162	1.0
49	-0.967254	1.000000	0.000156	0.9
50	-0.967407	1.000000	0.000151	1.0
51	-0.967545	1.000000	0.000146	1.0
52	-0.967679	1.000000	0.000143	1.0
53	-0.967820	1.000000	0.000140	1.1
54	-0.967947	1.000000	0.000137	0.9
55	-0.968083	1.000000	0.000133	1.0
56	-0.968213	1.000000	0.000128	1.0
57	-0.968338	1.000000	0.000124	1.0
58	-0.968459	1.000000	0.000119	1.0
59	-0.968577	1.000000	0.000119	1.0
60	-0.968689	1.000000	0.000121	1.0
61	-0.968795	1.000000	0.000122	1.2
62	-0.968901	1.000000	0.000126	1.1
63	-0.968987	1.000000	0.000127	0.9
64	-0.969086	1.000000	0.000120	1.0
65	-0.969166	1.000000	0.000118	1.0
66	-0.969263	1.000000	0.000120	1.0
67	-0.969354	1.000000	0.000128	1.0
68	-0.969437	1.000000	0.000135	1.0
69	-0.969520	1.000000	0.000136	1.0
70	-0.969605	1.000000	0.000136	1.0
71	-0.969691	1.000000	0.000135	1.0
72	-0.969779	1.000000	0.000134	1.0
73	-0.969867	1.000000	0.000134	1.0
74	-0.969949	1.000000	0.000138	1.0
75	-0.970042	1.000000	0.000138	1.0
76	-0.970140	1.000000	0.000142	1.3
77	-0.970231	1.000000	0.000147	1.0
78	-0.970329	1.000000	0.000147	1.1
79	-0.970428	1.000000	0.000149	1.0
80	-0.970538	1.000000	0.000144	1.0
81	-0.970650	1.000000	0.000143	1.0
82	-0.970777	1.000000	0.000141	1.0
83	-0.970898	1.000000	0.000143	1.0
84	-0.971023	1.000000	0.000143	1.0
85	-0.971148	1.000000	0.000141	1.0
86	-0.971278	1.000000	0.000144	1.0
87	-0.971407	1.000000	0.000139	1.0
88	-0.971541	1.000000	0.000135	1.0
89	-0.971656	1.000000	0.000138	1.0
90	-0.971790	1.000000	0.000135	1.1
91	-0.971900	1.000000	0.000130	1.1
92	-0.972025	1.000000	0.000131	1.0
93	-0.972130	1.000000	0.000126	1.1
94	-0.972246	1.000000	0.000125	0.9
95	-0.972345	1.000000	0.000133	1.1
96	-0.972438	1.000000	0.000134	1.1
97	-0.972528	1.000000	0.000129	1.1
98	-0.972615	1.000000	0.000133	1.0
99	-0.972688	1.000000	0.000139	1.0
100	-0.972765	1.000000	0.000139	1.0
101	-0.972828	1.000000	0.000142	1.1
102	-0.972905	0.500000	0.000142	1.0
103	-0.972953	0.500000	0.000094	1.0
104	-0.973000	0.500000	0.000094	1.1
105	-0.973046	0.500000	0.000092	1.1
106	-0.973091	0.500000	0.000089	1.3
107	-0.973135	0.500000	0.000089	1.1
108	-0.973178	0.500000	0.000087	1.2
109	-0.973222	0.500000	0.000086	1.2
110	-0.973255	0.500000	0.000084	1.1
111	-0.973297	0.500000	0.000082	1.0
112	-0.973328	0.500000	0.000082	1.0
113	-0.973369	0.500000	0.000080	1.0
114	-0.973408	0.500000	0.000078	1.1
115	-0.973447	0.500000	0.000078	1.0
116	-0.973485	0.500000	0.000076	1.0
117	-0.973522	0.500000	0.000075	1.1
118	-0.973568	0.500000	0.000075	1.0
119	-0.973604	0.500000	0.000073	1.0
120	-0.973641	0.500000	0.000073	1.0
121	-0.973676	0.500000	0.000072	1.3
122	-0.973712	0.500000	0.000071	1.1
123	-0.973747	0.500000	0.000070	1.1
124	-0.973781	0.500000	0.000068	1.0
125	-0.973815	0.500000	0.000068	1.0
126	-0.973848	0.500000	0.000068	0.9
127	-0.973881	0.500000	0.000068	1.0
128	-0.973914	0.500000	0.000068	0.9
129	-0.973945	0.500000	0.000068	1.0
130	-0.973974	0.500000	0.000072	1.0
131	-0.974000	0.500000	0.000077	0.8
132	-0.974024	0.500000	0.000078	1.0
133	-0.974049	0.500000	0.000078	0.9
134	-0.974072	0.500000	0.000080	1.0
135	-0.974087	0.500000	0.000080	1.0
136	-0.974110	0.500000	0.000081	1.1
137	-0.974131	0.500000	0.000077	1.0
138	-0.974146	0.500000	0.000073	1.1
139	-0.974170	0.500000	0.000072	1.0
140	-0.974195	0.500000	0.000072	1.1
141	-0.974216	0.500000	0.000077	1.0
142	-0.974237	0.500000	0.000075	1.0
143	-0.974250	0.500000	0.000072	0.9
144	-0.974272	0.500000	0.000073	0.9
145	-0.974293	0.500000	0.000072	0.9
146	-0.974315	0.500000	0.000069	0.9
147	-0.974344	0.500000	0.000068	1.1
148	-0.974359	0.500000	0.000068	1.0
149	-0.974387	0.500000	0.000070	1.0
150	-0.974407	0.500000	0.000072	1.0
151	-0.974427	0.500000	0.000070	1.2
152	-0.974447	0.500000	0.000068	1.1
153	-0.974468	0.500000	0.000068	1.1
154	-0.974488	0.500000	0.000067	1.0
155	-0.974508	0.500000	0.000071	1.0
156	-0.974527	0.500000	0.000073	1.0
157	-0.974546	0.500000	0.000074	0.9
158	-0.974563	0.250000	0.000076	1.0
159	-0.974577	0.250000	0.000052	1.0
160	-0.974590	0.250000	0.000051	1.0
161	-0.974602	0.250000	0.000050	0.9
162	-0.974615	0.250000	0.000049	1.0
163	-0.974627	0.250000	0.000048	1.0
164	-0.974639	0.250000	0.000048	1.0
165	-0.974650	0.250000	0.000049	1.1
166	-0.974662	0.250000	0.000049	1.1
167	-0.974674	0.250000	0.000048	1.1
168	-0.974686	0.250000	0.000048	1.0
169	-0.974698	0.250000	0.000048	0.8
170	-0.974709	0.250000	0.000047	1.1
171	-0.974713	0.250000	0.000048	0.9
172	-0.974725	0.250000	0.000048	0.9
173	-0.974737	0.250000	0.000048	1.1
174	-0.974748	0.250000	0.000047	1.0
175	-0.974760	0.250000	0.000046	1.0
176	-0.974771	0.250000	0.000046	1.0
177	-0.974774	0.250000	0.000046	0.9
178	-0.974786	0.250000	0.000046	1.1
179	-0.974797	0.250000	0.000047	1.0
180	-0.974809	0.250000	0.000047	1.0
181	-0.974820	0.250000	0.000046	1.0
182	-0.974831	0.250000	0.000046	1.3
183	-0.974842	0.250000	0.000046	1.0
184	-0.974854	0.250000	0.000045	1.1
185	-0.974865	0.250000	0.000045	0.9
186	-0.974876	0.250000	0.000046	1.0
187	-0.974887	0.250000	0.000046	1.0
188	-0.974899	0.250000	0.000047	1.0
189	-0.974902	0.250000	0.000047	1.0
190	-0.974914	0.250000	0.000047	1.0
191	-0.974925	0.250000	0.000046	1.0
192	-0.974936	0.250000	0.000046	1.0
193	-0.974948	0.250000	0.000046	1.0
194	-0.974959	0.250000	0.000046	1.0
195	-0.974970	0.250000	0.000045	1.0
196	-0.974981	0.250000	0.000044	1.0
197	-0.974992	0.250000	0.000044	1.3
198	-0.975002	0.250000	0.000043	1.2
199	-0.975013	0.250000	0.000043	1.0
200	-0.975023	0.250000	0.000042	1.0
201	-0.975034	0.250000	0.000042	1.0
202	-0.975044	0.250000	0.000042	1.0
203	-0.975054	0.250000	0.000042	1.1
204	-0.975064	0.250000	0.000041	1.0
205	-0.975074	0.250000	0.000042	1.1
206	-0.975085	0.250000	0.000042	1.0
207	-0.975087	0.250000	0.000042	1.1
208	-0.975097	0.250000	0.000043	1.0
209	-0.975108	0.250000	0.000043	1.0
210	-0.975110	0.250000	0.000043	1.0
211	-0.975121	0.250000	0.000043	1.1
212	-0.975132	0.250000	0.000043	1.2
213	-0.975142	0.250000	0.000043	1.3
214	-0.975153	0.250000	0.000044	1.2
215	-0.975163	0.250000	0.000045	1.2
216	-0.975174	0.250000	0.000046	1.0
217	-0.975185	0.250000	0.000044	1.0
218	-0.975195	0.250000	0.000043	1.0
219	-0.975205	0.250000	0.000043	1.0
220	-0.975207	0.250000	0.000042	1.0
221	-0.975217	0.250000	0.000042	1.0
222	-0.975227	0.250000	0.000042	1.0
223	-0.975238	0.250000	0.000042	1.0
224	-0.975248	0.250000	0.000042	1.0
225	-0.975258	0.250000	0.000041	1.1
226	-0.975260	0.250000	0.000040	1.2
227	-0.975270	0.250000	0.000040	1.1
228	-0.975279	0.250000	0.000040	1.1
229	-0.975281	0.250000	0.000040	1.1
230	-0.975291	0.250000	0.000040	1.0
231	-0.975301	0.250000	0.000040	1.0
232	-0.975311	0.250000	0.000041	1.0
233	-0.975320	0.250000	0.000044	1.1
234	-0.975329	0.250000	0.000043	1.0
235	-0.975339	0.250000	0.000040	1.0
236	-0.975349	0.250000	0.000041	0.9
237	-0.975359	0.250000	0.000041	1.0
238	-0.975369	0.250000	0.000041	1.0
239	-0.975379	0.250000	0.000041	1.0
240	-0.975388	0.250000	0.000043	1.1
241	-0.975397	0.250000	0.000042	1.2
242	-0.975407	0.250000	0.000041	1.1
243	-0.975417	0.250000	0.000042	1.0
244	-0.975426	0.250000	0.000042	1.0
245	-0.975428	0.250000	0.000041	0.9
246	-0.975438	0.250000	0.000041	1.0
247	-0.975447	0.250000	0.000040	1.0
248	-0.975457	0.250000	0.000040	1.1
249	-0.975466	0.250000	0.000040	1.0
250	-0.975475	0.250000	0.000038	0.9
251	-0.975484	0.250000	0.000037	1.1
252	-0.975493	0.250000	0.000039	1.0
253	-0.975502	0.250000	0.000039	1.0
254	-0.975511	0.250000	0.000038	1.0
255	-0.975520	0.250000	0.000039	1.0
256	-0.975529	0.250000	0.000038	1.2
257	-0.975529	0.250000	0.000038	1.0
258	-0.975539	0.250000	0.000040	1.1
259	-0.975555	0.250000	0.000041	0.9
260	-0.975556	0.250000	0.000040	1.1
261	-0.975558	0.250000	0.000041	1.0
262	-0.975575	0.250000	0.000042	1.0
263	-0.975576	0.250000	0.000041	1.0
264	-0.975585	0.250000	0.000041	1.1
265	-0.975595	0.250000	0.000041	1.0
266	-0.975604	0.250000	0.000040	1.0
267	-0.975620	0.250000	0.000041	1.0
268	-0.975630	0.250000	0.000040	0.9
269	-0.975638	0.250000	0.000042	1.0
270	-0.975647	0.250000	0.000041	1.0
271	-0.975656	0.250000	0.000041	1.1
272	-0.975665	0.250000	0.000040	1.1
273	-0.975673	0.250000	0.000040	1.1
274	-0.975681	0.250000	0.000041	0.9
275	-0.975689	0.250000	0.000041	1.0
276	-0.975697	0.250000	0.000043	0.9
277	-0.975704	0.250000	0.000041	1.0
278	-0.975712	0.250000	0.000039	1.0
279	-0.975721	0.250000	0.000039	1.0
280	-0.975728	0.250000	0.000040	1.0
281	-0.975737	0.250000	0.000040	1.0
282	-0.975745	0.250000	0.000039	1.0
283	-0.975753	0.250000	0.000040	1.0
284	-0.975762	0.250000	0.000040	1.0
285	-0.975771	0.250000	0.000041	1.0
286	-0.975780	0.250000	0.000043	1.0
287	-0.975789	0.250000	0.000042	1.2
288	-0.975798	0.250000	0.000043	1.0
289	-0.975807	0.250000	0.000043	1.0
290	-0.975816	0.250000	0.000043	1.0
291	-0.975825	0.250000	0.000041	1.1
292	-0.975832	0.250000	0.000041	1.0
293	-0.975840	0.250000	0.000041	1.0
294	-0.975847	0.250000	0.000037	1.0
295	-0.975856	0.250000	0.000036	1.0
296	-0.975860	0.250000	0.000036	1.0
297	-0.975868	0.250000	0.000036	1.0
298	-0.975877	0.250000	0.000037	1.0
299	-0.975885	0.250000	0.000035	0.9
300	-0.975885	0.250000	0.000036	1.0
301	-0.975901	0.250000	0.000035	1.0
302	-0.975901	0.250000	0.000035	1.3
303	-0.975900	0.250000	0.000036	1.1
304	-0.975907	0.250000	0.000035	1.1
305	-0.975915	0.250000	0.000034	1.0
306	-0.975922	0.250000	0.000036	1.1
307	-0.975929	0.250000	0.000035	0.9
308	-0.975936	0.250000	0.000034	1.0
309	-0.975944	0.250000	0.000033	0.9
310	-0.975951	0.250000	0.000033	0.8
311	-0.975958	0.250000	0.000033	0.9
