1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.710498	1.000000	0.007162	6.5
1	-0.717539	1.000000	0.006985	1.4
2	-0.724498	1.000000	0.006901	1.4
3	-0.731261	1.000000	0.006711	1.6
4	-0.737822	1.000000	0.006404	1.4
5	-0.744115	1.000000	0.006172	1.8
6	-0.750262	1.000000	0.006026	1.5
7	-0.756232	1.000000	0.005908	1.4
8	-0.762149	1.000000	0.005973	1.6
9	-0.768003	1.000000	0.005782	2.8
10	-0.773632	1.000000	0.005522	1.9
11	-0.779060	1.000000	0.005345	1.9
12	-0.784305	1.000000	0.005266	1.5
13	-0.789470	1.000000	0.005098	1.7
14	-0.794455	1.000000	0.004872	1.5
15	-0.799197	1.000000	0.004657	1.4
16	-0.803787	1.000000	0.004609	1.8
17	-0.808322	1.000000	0.004435	1.5
18	-0.812649	1.000000	0.004243	2.2
19	-0.816821	1.000000	0.004246	1.6
20	-0.820965	1.000000	0.004037	1.4
21	-0.824891	1.000000	0.003843	1.7
22	-0.828605	1.000000	0.003624	1.5
23	-0.832184	1.000000	0.003526	1.4
24	-0.835601	1.000000	0.003327	1.6
25	-0.838898	1.000000	0.003333	1.5
26	-0.842181	1.000000	0.003264	1.6
27	-0.845318	1.000000	0.003060	2.4
28	-0.848325	1.000000	0.002979	2.5
29	-0.851218	1.000000	0.002857	1.5
30	-0.854021	1.000000	0.002786	1.4
31	-0.856718	1.000000	0.002625	1.7
32	-0.859245	1.000000	0.002481	1.5
33	-0.861643	1.000000	0.002366	1.4
34	-0.863970	1.000000	0.002384	2.1
35	-0.866278	1.000000	0.002311	2.2
36	-0.868501	1.000000	0.002252	2.9
37	-0.870688	1.000000	0.002141	2.0
38	-0.872759	1.000000	0.002025	2.1
39	-0.874691	1.000000	0.001923	2.4
40	-0.876536	1.000000	0.001843	1.6
41	-0.878358	1.000000	0.001933	1.7
42	-0.880247	1.000000	0.001937	1.5
43	-0.882047	1.000000	0.001786	1.4
44	-0.883779	1.000000	0.001738	2.7
45	-0.885472	1.000000	0.001694	2.3
46	-0.887059	1.000000	0.001604	2.5
47	-0.888614	1.000000	0.001562	1.8
48	-0.890150	1.000000	0.001578	1.5
49	-0.891624	1.000000	0.001726	1.6
50	-0.893267	1.000000	0.001622	1.6
51	-0.894807	1.000000	0.001511	1.4
52	-0.896343	1.000000	0.001583	1.7
53	-0.897826	1.000000	0.001417	2.8
54	-0.899142	1.000000	0.001314	1.6
55	-0.900285	1.000000	0.001202	1.4
56	-0.901419	1.000000	0.001137	1.4
57	-0.902468	1.000000	0.001101	1.4
58	-0.903465	1.000000	0.001012	1.4
59	-0.904389	1.000000	0.000984	1.4
60	-0.905281	1.000000	0.000931	1.5
61	-0.906076	1.000000	0.000930	1.5
62	-0.906867	1.000000	0.000895	1.9
63	-0.907677	1.000000	0.000855	2.2
64	-0.908417	1.000000	0.000842	1.6
65	-0.909142	1.000000	0.000821	1.6
66	-0.909806	1.000000	0.000861	1.5
67	-0.910518	1.000000	0.000814	1.5
68	-0.911202	1.000000	0.000808	1.4
69	-0.911846	1.000000	0.000892	1.3
70	-0.912590	1.000000	0.000853	1.4
71	-0.913334	1.000000	0.000962	1.4
72	-0.914128	1.000000	0.000894	1.8
73	-0.914938	1.000000	0.000872	1.7
74	-0.915621	1.000000	0.000771	1.3
