1:ItNr	2:Metric	FS0:test:0	Time[ms]
0	-0.393546	-1.500000	1.9
1	-0.391717	-1.490000	0.6
2	-0.392854	-1.480000	0.6
3	-0.394918	-1.470000	0.5
4	-0.398591	-1.460000	0.7
5	-0.398034	-1.450000	0.6
6	-0.398888	-1.440000	0.6
7	-0.401052	-1.430000	0.6
8	-0.401757	-1.420000	0.5
9	-0.402869	-1.410000	0.6
10	-0.400923	-1.400000	0.6
11	-0.399886	-1.390000	0.5
12	-0.401449	-1.380000	0.6
13	-0.399997	-1.370000	0.5
14	-0.397711	-1.360000	0.6
15	-0.394669	-1.350000	0.5
16	-0.391789	-1.340000	0.6
17	-0.388647	-1.330000	0.5
18	-0.385642	-1.320000	0.6
19	-0.380817	-1.310000	0.5
20	-0.377620	-1.300000	0.6
21	-0.372886	-1.290000	0.5
22	-0.369943	-1.280000	0.6
23	-0.370916	-1.270000	0.5
24	-0.371430	-1.260000	0.5
25	-0.369686	-1.250000	0.6
26	-0.367240	-1.240000	0.5
27	-0.367369	-1.230000	0.5
28	-0.366009	-1.220000	0.5
29	-0.366080	-1.210000	0.5
30	-0.368896	-1.200000	0.5
31	-0.370231	-1.190000	0.6
32	-0.370325	-1.180000	0.7
33	-0.369593	-1.170000	0.7
34	-0.366793	-1.160000	0.6
35	-0.363317	-1.150000	0.5
36	-0.360801	-1.140000	0.6
37	-0.359720	-1.130000	0.5
38	-0.354675	-1.120000	0.5
39	-0.352023	-1.110000	0.5
40	-0.349540	-1.100000	0.5
41	-0.344968	-1.090000	0.5
42	-0.342525	-1.080000	0.5
43	-0.343540	-1.070000	0.5
44	-0.341756	-1.060000	0.5
45	-0.339831	-1.050000	0.5
46	-0.338582	-1.040000	0.5
47	-0.337265	-1.030000	0.5
48	-0.335767	-1.020000	0.5
49	-0.332146	-1.010000	0.5
50	-0.333080	-1.000000	0.5
51	-0.335095	-0.990000	0.5
52	-0.337462	-0.980000	0.5
53	-0.337684	-0.970000	0.5
54	-0.337453	-0.960000	0.5
55	-0.340407	-0.950000	0.5
56	-0.340250	-0.940000	0.5
57	-0.340310	-0.930000	0.5
58	-0.344493	-0.920000	0.5
59	-0.348346	-0.910000	0.5
60	-0.353295	-0.900000	0.5
61	-0.358813	-0.890000	0.5
62	-0.366052	-0.880000	0.6
63	-0.371393	-0.870000	0.6
64	-0.371040	-0.860000	0.5
65	-0.371300	-0.850000	0.5
66	-0.373303	-0.840000	0.5
67	-0.377534	-0.830000	0.5
68	-0.379020	-0.820000	0.5
69	-0.378732	-0.810000	0.5
70	-0.379407	-0.800000	0.5
71	-0.380635	-0.790000	0.5
72	-0.382756	-0.780000	0.5
73	-0.383796	-0.770000	0.5
74	-0.387731	-0.760000	0.5
75	-0.388921	-0.750000	0.5
76	-0.390668	-0.740000	0.5
77	-0.394252	-0.730000	0.5
78	-0.395562	-0.720000	0.5
79	-0.398214	-0.710000	0.5
80	-0.405326	-0.700000	0.5
81	-0.408591	-0.690000	0.5
82	-0.411546	-0.680000	0.5
83	-0.413227	-0.670000	0.5
84	-0.417634	-0.660000	0.5
85	-0.418314	-0.650000	0.5
86	-0.420112	-0.640000	0.5
87	-0.424758	-0.630000	0.5
88	-0.432652	-0.620000	0.5
89	-0.440619	-0.610000	0.5
90	-0.447340	-0.600000	0.5
91	-0.454260	-0.590000	0.7
92	-0.462156	-0.580000	0.5
93	-0.466823	-0.570000	0.6
94	-0.472068	-0.560000	0.6
95	-0.478839	-0.550000	0.6
96	-0.486008	-0.540000	0.6
97	-0.493537	-0.530000	0.5
98	-0.502491	-0.520000	0.6
99	-0.504606	-0.510000	0.6
100	-0.508217	-0.500000	0.5
101	-0.510226	-0.490000	0.5
102	-0.510866	-0.480000	0.5
103	-0.515577	-0.470000	0.5
104	-0.517511	-0.460000	0.5
105	-0.522843	-0.450000	0.5
106	-0.526413	-0.440000	0.5
107	-0.530651	-0.430000	0.5
108	-0.534756	-0.420000	0.5
109	-0.536467	-0.410000	0.5
110	-0.542793	-0.400000	0.5
111	-0.546992	-0.390000	0.5
112	-0.549339	-0.380000	0.6
113	-0.547869	-0.370000	0.5
114	-0.545248	-0.360000	0.5
115	-0.540975	-0.350000	0.5
116	-0.544320	-0.340000	0.5
117	-0.549148	-0.330000	0.5
118	-0.557610	-0.320000	0.5
119	-0.564346	-0.310000	0.5
120	-0.570366	-0.300000	0.5
121	-0.578905	-0.290000	0.7
122	-0.588397	-0.280000	0.8
123	-0.595018	-0.270000	0.6
124	-0.597468	-0.260000	0.8
125	-0.601614	-0.250000	0.6
126	-0.604894	-0.240000	0.6
127	-0.605211	-0.230000	0.5
128	-0.606666	-0.220000	0.6
129	-0.611491	-0.210000	0.5
130	-0.614220	-0.200000	0.6
131	-0.615034	-0.190000	0.5
132	-0.615679	-0.180000	0.6
133	-0.618901	-0.170000	0.6
134	-0.622874	-0.160000	0.5
135	-0.625651	-0.150000	0.6
136	-0.629725	-0.140000	0.6
137	-0.637841	-0.130000	0.6
138	-0.646994	-0.120000	0.6
139	-0.654008	-0.110000	0.6
140	-0.661521	-0.100000	0.6
141	-0.667950	-0.090000	0.6
142	-0.677745	-0.080000	0.6
143	-0.686368	-0.070000	0.6
144	-0.694701	-0.060000	0.6
145	-0.703851	-0.050000	0.6
146	-0.709455	-0.040000	0.6
147	-0.712377	-0.030000	0.6
148	-0.718710	-0.020000	0.6
149	-0.722053	-0.010000	0.7
150	-0.717857	0.000000	0.7
151	-0.718959	0.010000	0.7
152	-0.713779	0.020000	0.8
153	-0.709280	0.030000	0.7
154	-0.706161	0.040000	0.6
155	-0.704193	0.050000	0.7
156	-0.699572	0.060000	0.7
157	-0.695896	0.070000	0.6
158	-0.687506	0.080000	0.6
159	-0.685992	0.090000	0.6
160	-0.683487	0.100000	0.6
161	-0.677679	0.110000	0.6
162	-0.669273	0.120000	0.6
163	-0.662181	0.130000	0.6
164	-0.657083	0.140000	0.6
165	-0.655177	0.150000	0.6
166	-0.651560	0.160000	0.6
167	-0.644086	0.170000	0.6
168	-0.635755	0.180000	0.6
169	-0.630484	0.190000	0.6
170	-0.624241	0.200000	0.6
171	-0.617478	0.210000	0.6
172	-0.610943	0.220000	0.5
173	-0.601625	0.230000	0.5
174	-0.591147	0.240000	0.5
175	-0.583217	0.250000	0.5
176	-0.573797	0.260000	0.6
177	-0.564130	0.270000	0.6
178	-0.555408	0.280000	0.6
179	-0.550300	0.290000	0.7
180	-0.546224	0.300000	0.6
181	-0.543360	0.310000	0.6
182	-0.540853	0.320000	0.6
183	-0.534965	0.330000	0.6
184	-0.529945	0.340000	0.5
185	-0.523556	0.350000	0.5
186	-0.514096	0.360000	0.5
