1:ItNr	2:Metric	FS0:test:0	Time[ms]
0	-0.606071	-1.500000	2.3
1	-0.604872	-1.490000	0.7
2	-0.601936	-1.480000	0.8
3	-0.599371	-1.470000	0.7
4	-0.596350	-1.460000	0.8
5	-0.593956	-1.450000	0.7
6	-0.590716	-1.440000	1.0
7	-0.588642	-1.430000	0.7
8	-0.587005	-1.420000	1.1
9	-0.583793	-1.410000	0.7
10	-0.580948	-1.400000	0.6
11	-0.577788	-1.390000	0.6
12	-0.576859	-1.380000	0.6
13	-0.574550	-1.370000	0.6
14	-0.573104	-1.360000	0.6
15	-0.571647	-1.350000	0.9
16	-0.568955	-1.340000	0.9
17	-0.565190	-1.330000	0.7
18	-0.564032	-1.320000	0.5
19	-0.561582	-1.310000	0.6
20	-0.560305	-1.300000	0.6
21	-0.558841	-1.290000	0.7
22	-0.556673	-1.280000	0.6
23	-0.555769	-1.270000	0.6
24	-0.554340	-1.260000	0.6
25	-0.553916	-1.250000	0.6
26	-0.551607	-1.240000	0.6
27	-0.550299	-1.230000	0.6
28	-0.549068	-1.220000	0.6
29	-0.547460	-1.210000	0.6
30	-0.547796	-1.200000	0.6
31	-0.545948	-1.190000	0.6
32	-0.545324	-1.180000	0.6
33	-0.545124	-1.170000	0.6
34	-0.546302	-1.160000	0.5
35	-0.548107	-1.150000	0.6
36	-0.549576	-1.140000	0.6
37	-0.550156	-1.130000	0.5
38	-0.551551	-1.120000	0.6
39	-0.552811	-1.110000	0.6
40	-0.555607	-1.100000	0.6
41	-0.556329	-1.090000	0.7
42	-0.557547	-1.080000	0.6
43	-0.560029	-1.070000	0.5
44	-0.563357	-1.060000	0.6
45	-0.564532	-1.050000	0.6
46	-0.564231	-1.040000	0.6
47	-0.566123	-1.030000	0.6
48	-0.567620	-1.020000	0.5
49	-0.569885	-1.010000	0.6
50	-0.573060	-1.000000	0.6
51	-0.574729	-0.990000	0.5
52	-0.576292	-0.980000	0.6
53	-0.577372	-0.970000	0.6
54	-0.579007	-0.960000	0.5
55	-0.582739	-0.950000	0.6
56	-0.586024	-0.940000	0.7
57	-0.588749	-0.930000	0.5
58	-0.591956	-0.920000	0.6
59	-0.594560	-0.910000	0.6
60	-0.594943	-0.900000	0.6
61	-0.598184	-0.890000	0.6
62	-0.600519	-0.880000	0.6
63	-0.602324	-0.870000	0.6
64	-0.604551	-0.860000	0.6
65	-0.607113	-0.850000	0.6
66	-0.609365	-0.840000	0.7
67	-0.611185	-0.830000	0.6
68	-0.612770	-0.820000	0.6
69	-0.615159	-0.810000	0.6
70	-0.617105	-0.800000	0.5
71	-0.618306	-0.790000	0.7
72	-0.619985	-0.780000	0.6
73	-0.622150	-0.770000	0.6
74	-0.624767	-0.760000	0.6
75	-0.627139	-0.750000	0.6
76	-0.629941	-0.740000	0.6
77	-0.634060	-0.730000	0.6
78	-0.636187	-0.720000	0.5
79	-0.639690	-0.710000	0.6
80	-0.642320	-0.700000	0.6
81	-0.646519	-0.690000	0.6
82	-0.650841	-0.680000	0.7
83	-0.655066	-0.670000	0.7
84	-0.658939	-0.660000	0.6
85	-0.663738	-0.650000	0.6
86	-0.666541	-0.640000	0.6
87	-0.669663	-0.630000	0.6
88	-0.673970	-0.620000	0.6
89	-0.678222	-0.610000	0.6
90	-0.682242	-0.600000	0.6
91	-0.684941	-0.590000	0.6
92	-0.688756	-0.580000	0.7
93	-0.693148	-0.570000	0.9
94	-0.697506	-0.560000	0.7
95	-0.701618	-0.550000	0.6
96	-0.706119	-0.540000	0.6
97	-0.709508	-0.530000	0.7
