1:ItNr	2:Metric	2:Metric0	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient||	Time0[ms]	Time[ms]
0	-0.781539	-0.781539	0.000000	10557.552677	0.001172	0.001172	2.0	168.2
1	-0.755296	-0.755296	0.000000	10557.552677	0.000990	0.000990	2.6	3.1
2	-0.779302	-0.779302	0.000000	10557.552677	0.001531	0.001531	2.3	2.8
3	-0.783134	-0.783134	0.000000	10557.552677	0.001213	0.001213	1.9	2.3
4	-0.772571	-0.772571	0.000000	10557.552677	0.001274	0.001274	1.6	2.1
5	-0.784834	-0.784834	0.000000	10557.552677	0.001005	0.001005	1.9	2.5
6	-0.823571	-0.823571	0.000000	10557.552677	0.000995	0.000995	1.8	2.3
7	-0.806041	-0.806041	0.000000	10557.552677	0.001265	0.001265	1.7	2.2
8	-0.833966	-0.833966	0.000000	10557.552677	0.001278	0.001278	2.5	3.2
9	-0.814035	-0.814035	0.000000	10557.552677	0.001217	0.001217	2.2	2.7
10	-0.829888	-0.829888	0.999462	10077.910575	0.001049	0.001049	2.5	2.9
11	-0.817799	-0.817799	0.387981	10366.037372	0.001166	0.001166	1.8	2.3
12	-0.828334	-0.828334	0.000000	10557.552677	0.001210	0.001210	1.7	2.2
13	-0.837462	-0.837462	0.000000	10557.552677	0.001147	0.001147	2.0	2.5
14	-0.848984	-0.848984	0.000000	10557.552677	0.000984	0.000984	2.2	2.9
15	-0.850431	-0.850431	0.000000	10557.552677	0.001162	0.001162	2.3	2.8
16	-0.856100	-0.856100	0.000000	10557.552677	0.001177	0.001177	2.3	2.8
17	-0.860061	-0.860061	0.000000	10557.552677	0.001482	0.001482	2.3	2.8
18	-0.819010	-0.819010	0.000000	10557.552677	0.001071	0.001071	1.9	2.4
19	-0.865496	-0.865496	0.000000	10557.552677	0.001218	0.001218	1.7	2.2
20	-0.875978	-0.875978	0.000000	10557.552677	0.000969	0.000969	2.8	3.6
21	-0.879794	-0.879794	0.000000	10557.552677	0.001198	0.001198	2.5	3.0
22	-0.899043	-0.899043	0.000000	10557.552677	0.001073	0.001073	2.2	2.7
23	-0.870937	-0.870937	0.000000	10557.552677	0.001293	0.001293	1.8	2.3
24	-0.902687	-0.902687	0.000000	10557.552677	0.001018	0.001018	1.8	2.4
25	-0.901774	-0.901774	0.000000	10557.552677	0.001197	0.001197	1.7	2.3
26	-0.911306	-0.911306	0.000000	10557.552677	0.000892	0.000892	2.8	3.5
27	-0.927455	-0.927455	0.000000	10557.552677	0.001091	0.001091	2.4	2.9
28	-0.940634	-0.940634	0.000000	10557.552677	0.001437	0.001437	2.7	3.2
29	-0.926595	-0.926595	0.000000	10557.552677	0.001090	0.001090	2.2	2.6
30	-0.933447	-0.933447	0.000000	10557.552677	0.001197	0.001197	1.9	2.4
31	-0.950937	-0.950937	0.000000	10557.552677	0.001132	0.001132	2.8	3.3
32	-0.960996	-0.960996	0.000000	10557.552677	0.001494	0.001494	2.2	2.9
33	-0.950410	-0.950410	0.000000	10557.552677	0.001026	0.001026	2.6	3.1
34	-0.970262	-0.970262	0.000000	10557.552677	0.000943	0.000943	2.3	2.8
35	-0.954604	-0.954604	0.000000	10557.552677	0.001255	0.001255	2.1	2.7
36	-0.968476	-0.968476	0.000000	10557.552677	0.001236	0.001236	2.5	3.0
37	-0.936255	-0.936255	0.000000	10557.552677	0.001308	0.001308	2.8	3.2
38	-0.986686	-0.986686	0.000000	10557.552677	0.001458	0.001458	2.4	2.9
39	-0.990689	-0.990689	0.000000	10557.552677	0.000897	0.000897	2.5	3.1
40	-0.983612	-0.983612	0.000000	10557.552677	0.001112	0.001112	2.7	3.2
41	-0.959208	-0.959208	0.000000	10557.552677	0.001279	0.001279	1.9	2.5
42	-0.970429	-0.970429	0.000000	10557.552677	0.001023	0.001023	2.8	3.4
43	-1.012716	-1.012716	0.000000	10557.552677	0.001108	0.001108	2.3	2.8
44	-1.008271	-1.008271	0.000000	10557.552677	0.001001	0.001001	2.8	3.4
45	-1.034616	-1.034616	0.000000	10557.552677	0.001396	0.001396	3.2	3.8
46	-1.006847	-1.006847	0.000000	10557.552677	0.001418	0.001418	2.9	3.7
47	-1.003323	-1.003323	0.000000	10557.552677	0.001398	0.001398	7.1	7.8
48	-1.015004	-1.015004	0.000000	10557.552677	0.000889	0.000889	5.4	6.7
49	-1.004071	-1.004071	0.000000	10557.552677	0.001416	0.001416	4.8	5.7
50	-1.021812	-1.021812	0.000000	10557.552677	0.001292	0.001292	4.2	4.9
51	-1.072680	-1.072680	0.000000	10557.552677	0.001603	0.001603	3.2	3.7
52	-1.037523	-1.037523	0.000000	10557.552677	0.001505	0.001505	3.2	3.9
53	-1.001082	-1.001082	1.000000	10077.663919	0.001221	0.001221	2.8	3.3
54	-1.062375	-1.062375	0.388519	10365.776411	0.000895	0.000895	2.8	3.3
55	-1.064301	-1.064301	0.000000	10557.552677	0.001094	0.001094	2.4	2.9
56	-1.062822	-1.062822	0.000000	10557.552677	0.001207	0.001207	2.3	2.8
57	-1.054648	-1.054648	0.000000	10557.552677	0.000996	0.000996	2.8	3.5
58	-1.084605	-1.084605	0.000000	10557.552677	0.000844	0.000844	1.9	2.4
59	-1.089278	-1.089278	0.000000	10557.552677	0.001214	0.001214	1.9	2.6
60	-1.091507	-1.091507	0.000000	10557.552677	0.001081	0.001081	2.8	3.3
61	-1.068567	-1.068567	0.000000	10557.552677	0.001315	0.001315	2.0	2.5
62	-1.063897	-1.063897	0.000000	10557.552677	0.001376	0.001376	1.5	2.0
63	-1.088843	-1.088843	0.000000	10557.552677	0.001110	0.001110	3.3	4.2
64	-1.081167	-1.081167	0.000000	10557.552677	0.000886	0.000886	2.6	3.1
65	-1.081263	-1.081263	0.000000	10557.552677	0.000901	0.000901	2.8	3.4
66	-1.086671	-1.086671	0.000000	10557.552677	0.001149	0.001149	2.4	2.8
67	-1.132024	-1.132024	0.000000	10557.552677	0.000879	0.000879	2.3	2.7
68	-1.102068	-1.102068	0.000000	10557.552677	0.001309	0.001309	2.9	3.4
69	-1.114308	-1.114308	0.000000	10557.552677	0.001415	0.001415	2.5	3.1
70	-1.103727	-1.103727	0.000000	10557.552677	0.000967	0.000967	2.7	3.3
71	-1.105478	-1.105478	0.000000	10557.552677	0.001318	0.001318	2.2	2.7
72	-1.132168	-1.132168	0.000000	10557.552677	0.001148	0.001148	1.8	2.4
73	-1.115689	-1.115689	0.000000	10557.552677	0.001071	0.001071	2.0	2.8
74	-1.098753	-1.098753	0.000000	10557.552677	0.001063	0.001063	2.9	3.5
75	-1.149515	-1.149515	0.000000	10557.552677	0.001246	0.001246	2.6	3.1
76	-1.119574	-1.119574	0.000000	10557.552677	0.001389	0.001389	1.6	2.1
77	-1.115981	-1.115981	0.000000	10557.552677	0.001224	0.001224	1.7	2.6
78	-1.134144	-1.134144	0.000000	10557.552677	0.001259	0.001259	1.9	3.0
79	-1.102437	-1.102437	0.953561	10098.981369	0.001016	0.001016	3.1	3.6
80	-1.122229	-1.122229	0.342080	10388.331548	0.001074	0.001074	2.3	2.9
81	-1.169510	-1.169510	0.000000	10557.552677	0.001523	0.001523	1.9	2.6
