1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.749777	-0.749777	0.000000	0.000000	10059.594122	0.000967	0.000000	0.000967	1.9	0.8	204.5
1	-0.771650	-0.771711	0.000000	0.000000	10059.594122	0.001218	0.000000	0.001210	1.5	0.7	2.7
2	-0.772201	-0.772427	0.000000	0.000000	10059.594122	0.001041	0.000000	0.001034	1.5	0.7	2.7
3	-0.767410	-0.767751	0.000001	0.000000	10059.594122	0.001139	0.000000	0.001132	2.1	1.0	3.6
4	-0.778227	-0.778734	0.000001	0.000000	10059.594122	0.001030	0.000000	0.001015	2.1	1.0	3.6
5	-0.811865	-0.812498	0.000001	0.000000	10059.594122	0.001230	0.000000	0.001221	1.9	0.7	3.4
6	-0.794676	-0.795559	0.000002	0.000000	10059.594122	0.001055	0.000000	0.001041	1.5	0.7	2.7
7	-0.824095	-0.825127	0.000002	0.000000	10059.594122	0.001240	0.000000	0.001216	1.6	0.8	2.8
8	-0.803417	-0.804866	0.000003	0.000000	10059.594122	0.001172	0.000000	0.001147	1.5	0.8	2.7
9	-0.815481	-0.817235	0.000004	0.000000	10059.594122	0.001050	0.000000	0.001015	1.5	0.8	2.7
10	-0.804582	-0.806704	0.000004	0.000000	10059.594122	0.001021	0.000000	0.000994	1.8	0.9	3.2
11	-0.818462	-0.820802	0.000005	0.000000	10059.594122	0.000999	0.000000	0.000972	1.6	0.8	2.9
12	-0.824625	-0.827151	0.000005	0.000000	10059.594122	0.001113	0.000000	0.001089	1.5	0.8	2.7
13	-0.832496	-0.835383	0.000006	0.000000	10059.594122	0.000943	0.000000	0.000895	1.5	0.8	2.7
14	-0.836611	-0.839811	0.000006	0.000000	10059.594122	0.000984	0.000000	0.000941	1.6	0.8	2.9
15	-0.839480	-0.843077	0.000007	0.000000	10059.594122	0.001449	0.000000	0.001408	1.6	0.7	2.8
16	-0.845902	-0.849776	0.000008	0.000000	10059.594122	0.000876	0.000000	0.000823	2.1	0.7	3.3
17	-0.803259	-0.807788	0.000009	0.000000	10059.594122	0.000937	0.000000	0.000888	1.6	0.8	2.8
18	-0.844232	-0.849485	0.000011	0.000000	10059.594122	0.001052	0.000000	0.001003	1.5	0.8	2.8
19	-0.855352	-0.860572	0.000010	0.000000	10059.594122	0.001091	0.000000	0.001050	1.5	0.8	2.8
20	-0.862453	-0.867774	0.000011	0.000000	10059.594122	0.001262	0.000000	0.001244	1.6	0.8	2.9
21	-0.871614	-0.877412	0.000012	0.000000	10059.594122	0.001618	0.000000	0.001567	1.6	1.2	3.2
22	-0.848174	-0.854815	0.000013	0.000000	10059.594122	0.001168	0.000000	0.001114	1.5	0.8	2.9
23	-0.881074	-0.888341	0.000015	0.000000	10059.594122	0.000980	0.000000	0.000914	1.5	0.8	2.8
24	-0.872547	-0.879806	0.000015	0.000000	10059.594122	0.000929	0.000000	0.000869	1.5	0.8	2.7
25	-0.880658	-0.888457	0.000016	0.000000	10059.594122	0.001320	0.000000	0.001264	1.5	0.7	2.7
26	-0.899249	-0.907314	0.000016	0.000000	10059.594122	0.001072	0.000000	0.001005	1.7	0.8	2.9
27	-0.905026	-0.914236	0.000018	0.000000	10059.594122	0.000984	0.000000	0.000916	1.9	0.9	3.3
28	-0.899338	-0.908658	0.000019	0.000000	10059.594122	0.001207	0.000000	0.001144	1.5	0.8	2.7
29	-0.895915	-0.906160	0.000020	0.000000	10059.594122	0.001161	0.000000	0.001113	1.6	0.8	2.8
30	-0.916164	-0.926483	0.000021	0.000000	10059.594122	0.001163	0.000000	0.001109	1.6	0.8	2.8
31	-0.921879	-0.932723	0.000022	0.000000	10059.594122	0.001381	0.000000	0.001358	1.6	0.7	2.7
32	-0.915869	-0.926641	0.000022	0.000000	10059.594122	0.000971	0.000000	0.000890	1.7	0.9	3.1
33	-0.928883	-0.940184	0.000023	0.000000	10059.594122	0.001197	0.000000	0.001112	1.7	0.8	2.9
34	-0.915995	-0.928006	0.000024	0.000000	10059.594122	0.001538	0.000000	0.001506	1.6	0.7	2.8
35	-0.920021	-0.933161	0.000026	0.000000	10059.594122	0.001060	0.000001	0.000970	1.6	0.8	2.8
36	-0.894736	-0.907540	0.000026	0.000000	10059.594122	0.001298	0.000000	0.001248	1.5	0.8	2.8
37	-0.941194	-0.954663	0.000027	0.000000	10059.594122	0.001165	0.000000	0.001098	1.7	0.9	3.1
38	-0.941791	-0.956171	0.000029	0.999906	9602.380697	0.001700	0.000001	0.001635	2.0	0.9	3.3
39	-0.933333	-0.948206	0.000030	0.374385	9883.394379	0.001012	0.000001	0.000940	1.7	0.8	2.9
40	-0.912452	-0.927370	0.000030	0.000000	10059.594122	0.000821	0.000001	0.000734	1.6	0.8	2.8
41	-0.927157	-0.942399	0.000030	0.000000	10059.594122	0.000984	0.000001	0.000903	1.6	0.8	2.8
42	-0.961716	-0.978024	0.000033	0.000000	10059.594122	0.001179	0.000001	0.001121	1.6	0.8	2.8
43	-0.958433	-0.974193	0.000032	0.000000	10059.594122	0.001262	0.000001	0.001226	1.6	1.1	3.1
44	-0.980002	-0.996310	0.000033	0.000000	10059.594122	0.001120	0.000001	0.001064	1.8	0.8	3.0
45	-0.951138	-0.967605	0.000033	0.000000	10059.594122	0.001148	0.000001	0.001094	1.6	0.8	2.8
46	-0.948225	-0.965729	0.000035	0.000000	10059.594122	0.001063	0.000001	0.001006	1.6	0.8	2.8
47	-0.958981	-0.977049	0.000036	0.000000	10059.594122	0.001178	0.000001	0.001093	1.6	0.8	2.8
48	-0.946145	-0.963852	0.000035	0.000000	10059.594122	0.001051	0.000001	0.000983	1.7	0.8	2.9
49	-0.962841	-0.981254	0.000037	0.000000	10059.594122	0.001071	0.000001	0.000995	2.0	0.9	3.4
50	-1.006466	-1.025773	0.000039	0.000000	10059.594122	0.001043	0.000001	0.000973	1.7	0.8	2.9
51	-0.973281	-0.993648	0.000041	0.000000	10059.594122	0.001440	0.000001	0.001379	1.6	0.8	2.8
52	-0.938345	-0.958256	0.000040	0.000000	10059.594122	0.001095	0.000001	0.001022	1.6	0.8	2.8
53	-0.990621	-1.011080	0.000041	0.000000	10059.594122	0.000988	0.000001	0.000915	1.6	0.8	2.8
54	-0.993669	-1.015294	0.000043	0.000000	10059.594122	0.000950	0.000001	0.000876	1.7	1.0	3.2
55	-0.994480	-1.015820	0.000043	0.000000	10059.594122	0.001144	0.000001	0.001064	1.7	0.8	3.0
56	-0.980829	-1.002904	0.000044	0.000000	10059.594122	0.001075	0.000001	0.001008	1.6	0.8	2.8
57	-1.011857	-1.033897	0.000044	0.000000	10059.594122	0.001122	0.000001	0.001075	1.7	0.8	2.9
58	-1.009000	-1.030977	0.000044	0.000000	10059.594122	0.001082	0.000001	0.001009	1.6	0.8	2.8
59	-1.020840	-1.043025	0.000044	0.000000	10059.594122	0.000959	0.000001	0.000878	1.6	0.8	2.8
60	-0.989927	-1.013069	0.000046	0.000000	10059.594122	0.001128	0.000001	0.001024	2.1	0.8	3.3
61	-0.988205	-1.011754	0.000047	0.000000	10059.594122	0.001059	0.000001	0.000978	1.6	0.8	2.8
62	-1.015152	-1.039737	0.000049	0.000000	10059.594122	0.001376	0.000001	0.001350	1.6	0.8	2.8
63	-1.004310	-1.029245	0.000050	0.000000	10059.594122	0.001172	0.000001	0.001083	1.6	0.8	2.8
64	-1.004557	-1.028674	0.000048	0.000000	10059.594122	0.001514	0.000001	0.001474	1.6	0.8	2.8
65	-1.016436	-1.040114	0.000047	1.000000	9602.339863	0.002009	0.000001	0.001986	1.7	1.1	3.2
66	-1.055024	-1.080860	0.000052	0.374479	9883.351120	0.001261	0.000001	0.001187	1.7	0.8	3.0
67	-1.018584	-1.044460	0.000052	1.374479	9441.626809	0.001609	0.000001	0.001544	1.6	0.8	2.9
68	-1.036131	-1.063385	0.000055	0.748957	9713.177283	0.001789	0.000001	0.001745	1.6	0.8	2.8
69	-1.023643	-1.050872	0.000054	1.748957	9286.204864	0.001278	0.000001	0.001218	1.6	0.8	2.8
