1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.391736	0.000000	223.558835	0.005649	555.8
1	-0.266834	0.043370	223.098085	0.004265	2.0
2	-0.206247	0.086740	222.639232	0.003206	1.9
3	-0.206802	0.130110	222.182261	0.005503	1.7
4	-0.206436	0.173479	221.727163	0.003885	2.1
5	-0.155927	0.216849	221.273925	0.005834	2.8
6	-0.266863	0.260219	220.822536	0.002943	6.9
7	-0.234855	0.303589	220.372986	0.004426	3.5
8	-0.453753	0.346959	219.925262	0.006417	3.4
9	-0.216081	0.390329	219.479353	0.003789	4.0
10	-0.312742	0.433699	219.035249	0.002972	3.5
11	-0.231321	0.477069	218.592939	0.003002	2.5
12	-0.184856	0.520438	218.152411	0.004367	2.8
13	-0.423502	0.563808	217.713655	0.007655	2.4
14	-0.130206	0.607178	217.276661	0.003700	2.4
15	-0.447830	0.650548	216.841418	0.004145	3.1
16	-0.270136	0.693918	216.407915	0.004934	2.2
17	-0.397322	0.737288	215.976141	0.007035	2.3
18	-0.248631	0.780658	215.546087	0.004014	1.9
19	-0.147387	0.824028	215.117743	0.002492	2.0
20	-0.286562	0.867397	214.691097	0.004061	1.9
21	-0.591822	0.910767	214.266140	0.006086	1.9
22	-0.258087	0.954137	213.842863	0.004073	1.8
23	-0.163958	0.997507	213.421254	0.004564	2.9
24	-0.337149	1.040877	213.001305	0.005586	2.3
25	-0.316432	1.084247	212.583005	0.008709	1.8
26	-0.121697	1.127617	212.166345	0.002496	2.0
27	-0.123455	1.170986	211.751315	0.003346	1.8
28	-0.241494	1.214356	211.337905	0.003443	2.0
29	-0.290821	1.257726	210.926107	0.004554	1.7
30	-0.260171	1.301096	210.515910	0.004121	2.1
31	-0.183824	1.344466	210.107306	0.006111	2.6
32	-0.162221	1.387836	209.700284	0.006766	2.3
33	-0.237010	1.431206	209.294837	0.002775	2.0
34	-0.563869	1.474576	208.890954	0.007129	2.0
35	-0.544005	1.517945	208.488627	0.007965	2.0
