1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.195950	0.000000	3.320015	0.010540	468.6
1	-0.188993	0.000000	3.320015	0.004760	2.5
2	-0.191374	0.851605	3.190626	0.007239	2.4
3	-0.167991	0.000000	3.320015	0.003997	2.4
4	-0.203395	0.993375	3.170059	0.013095	2.5
5	-0.181312	1.929594	3.040625	0.009073	2.4
6	-0.154170	0.974756	3.172745	0.005852	2.8
7	-0.163684	1.974123	3.034732	0.008799	2.8
8	-0.188206	2.955342	2.910428	0.008978	2.7
9	-0.182178	3.955107	2.793829	0.007435	2.7
10	-0.185501	3.021138	2.902456	0.007595	2.6
11	-0.200374	2.059926	3.023440	0.008258	2.8
12	-0.163000	1.440026	3.106962	0.011008	3.1
13	-0.181922	2.440026	2.974413	0.008372	2.9
14	-0.178853	3.440018	2.852711	0.011264	2.7
15	-0.177824	4.175193	2.769405	0.011290	2.7
16	-0.190282	3.212558	2.879510	0.007319	2.7
17	-0.194828	2.248486	2.998918	0.008717	2.7
18	-0.195195	1.287337	3.128247	0.010915	3.0
19	-0.177347	1.064030	3.159908	0.010782	2.8
20	-0.190934	2.060841	3.023320	0.011191	2.7
21	-0.194969	3.060836	2.897668	0.006705	2.7
22	-0.183338	2.096765	3.018618	0.009389	2.7
23	-0.184251	3.093591	2.893728	0.004512	2.7
24	-0.190068	4.089646	2.778848	0.008303	2.9
25	-0.189628	4.102626	2.777411	0.007262	2.6
26	-0.210902	4.840283	2.698125	0.007820	2.6
27	-0.180725	4.859979	2.696070	0.007982	2.7
28	-0.183569	3.903190	2.799654	0.005175	2.7
29	-0.188543	4.900023	2.691901	0.013092	2.7
30	-0.185428	5.894988	2.592316	0.002366	2.8
31	-0.205187	4.978414	2.683778	0.006203	2.7
32	-0.174306	5.749938	2.606373	0.006133	2.7
33	-0.184613	6.626165	2.523706	0.008559	2.7
34	-0.187201	7.572987	2.440078	0.003896	2.7
35	-0.181709	7.730500	2.426700	0.006530	2.7
36	-0.193315	8.588471	2.356334	0.007375	3.0
37	-0.169240	8.366312	2.374159	0.007640	3.0
38	-0.176504	8.816361	2.338324	0.008657	2.7
39	-0.189881	9.816355	2.262445	0.006655	2.7
40	-0.189338	9.069329	2.318652	0.004822	2.6
41	-0.170983	10.067541	2.244153	0.002708	3.3
42	-0.179300	9.270912	2.303211	0.005727	2.8
43	-0.196362	8.343710	2.375988	0.009323	2.7
44	-0.179237	7.468157	2.449063	0.008998	2.7
45	-0.178265	8.467990	2.365967	0.004192	2.7
46	-0.199249	7.509324	2.445526	0.007562	2.7
47	-0.175716	8.293504	2.380060	0.010610	3.2
48	-0.182065	7.329430	2.461056	0.009321	2.8
49	-0.189431	6.365352	2.547758	0.006787	2.7
50	-0.172560	5.451754	2.635754	0.008969	2.8
51	-0.172760	4.719610	2.710784	0.008783	2.8
52	-0.179658	3.755535	2.816352	0.005035	3.2
53	-0.189676	2.940717	2.912206	0.009537	2.9
54	-0.163727	3.928078	2.796858	0.012634	2.8
55	-0.174468	3.044231	2.899669	0.013846	2.7
56	-0.184446	2.080152	3.020791	0.012110	2.7
57	-0.181316	1.116074	3.152472	0.007657	2.7
58	-0.190387	0.153291	3.295956	0.011043	3.0
59	-0.199485	1.123712	3.151384	0.005568	2.9
60	-0.176075	1.234340	3.135704	0.008827	2.8
61	-0.184291	0.273732	3.277295	0.008116	2.7
62	-0.176902	0.303521	3.272713	0.011993	2.7
63	-0.161523	1.303505	3.125980	0.004627	2.7
64	-0.190967	2.301323	2.992118	0.009632	2.9
65	-0.189847	2.230743	3.001209	0.009431	2.8
