1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-1.102786	1.000000	0.006435	475.3
1	-1.105864	1.000000	0.004406	90.1
2	-1.107011	1.000000	0.004840	93.8
3	-1.106686	1.000000	0.005248	75.2
4	-1.106876	0.500000	0.003682	76.3
5	-1.107809	0.250000	0.002998	74.4
6	-1.108295	0.125000	0.003726	74.0
7	-1.108585	0.125000	0.003205	74.2
8	-1.108770	0.125000	0.002963	80.9
9	-1.108924	0.062500	0.003368	82.7
10	-1.109061	0.062500	0.002149	89.3
11	-1.109167	0.062500	0.002168	78.4
12	-1.109258	0.062500	0.002404	78.6
13	-1.109338	0.062500	0.002466	77.4
14	-1.109397	0.031250	0.002328	77.0
15	-1.109445	0.031250	0.001234	76.1
16	-1.109480	0.031250	0.001063	74.8
17	-1.109509	0.031250	0.000954	76.6
18	-1.109531	0.031250	0.001040	74.5
19	-1.109539	0.015625	0.001452	75.0
20	-1.109553	0.015625	0.000588	74.9
21	-1.109561	0.015625	0.000519	75.3
22	-1.109569	0.015625	0.000476	75.4
23	-1.109576	0.015625	0.000447	72.9
24	-1.109583	0.015625	0.000411	73.0
25	-1.109589	0.015625	0.000405	73.5
26	-1.109593	0.015625	0.000535	73.5
